"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"Z005E0032",44,116,22.0415299227703,15,88.6666666666667,NA,NA,NA,3.94077612733705,809,110,227.5,67.5,NA,NA,NA,NA,0.86473649885544,155,0.818576374175771,105.166666666667,8.85801426426351,207.712491631153,301,7,NA,80.2416291977279,4.66666666666667
"Z005E0033",40.657697422787,151.534431304277,30.0415299227703,15.3846361627153,80.293621226218,-8.64691425737563,940.4566675,956.17666783576,3.94077612733705,834,81.5,265.5,67.5,3.31078068550917,12.735078741422,69.5202523885481,NA,0.86473649885544,175,1.81857637417577,149.073500777993,10.8580142642635,250.712491631153,340.5,3.5,NA,75,4.25807012793367
"Z005E0034",43.0415955819674,112.329005734386,NA,13.4576744948914,33.9830838030432,35.5164207426244,1036.51673802851,962.9566675,4.94077612733705,834,86.5,281.495229530357,72.5,NA,NA,NA,NA,0.86473649885544,195,1.81857637417577,72.7392235147786,7.85801426426351,244.712491631153,351.891762504946,6.3746963932817,NA,75.2416291977279,2.4917621608067
"Z005E0035",44.407697422787,129.534431304277,25.0415299227703,17.3846361627153,84.793621226218,12.9158325,930.4566675,917.538335,9.94077612733705,838,95.5,270,72.5,NA,NA,NA,NA,0.86473649885544,146.615700738489,-0.181423625824229,121.073500777993,10.8580142642635,184.712491631153,323.5,3.5,NA,67.5,4.03307012793367
"Z005E0036",33.3985860095089,98.7268740773264,NA,NA,2.05341005852234,-8.64691425737563,1036.51673802851,1045.34000283576,2.44077612733705,719.803278488101,92.758457307065,215.495229530357,79.2036014082141,NA,NA,NA,NA,0.86473649885544,191.615700738489,1.81857637417577,60.6254485855441,10.8580142642635,206.712491631153,297.891762504946,5.3746963932817,NA,NA,NA
"Z005E0037",45.8985860095089,105.329005734386,NA,16.6846213152132,88.0534100585223,56.2908325,972.8172225,916.5263875,4.33333333333333,826.5,74,290.5,72.5,4.25921931449083,13.854921258578,67.129747611452,NA,0.86473649885544,178.384299261511,-0.181423625824229,112.625448585544,4.85801426426351,192.712491631153,323,4.25,NA,77.5,3.76281095246968
"Z005E0038",45.5,116.5,20.0415299227703,14.6666666666667,73.8333333333334,3.0552775,982.538335,979.4830575,1.94077612733705,787.75,101.5,242,72.5,NA,NA,NA,NA,0.86473649885544,173.384299261511,1.81857637417577,99.8333333333333,7.85801426426351,239.712491631153,316,5.5,NA,70.2416291977279,5.08333333333333
"Z005E0039",40.2915955819674,103.329005734386,NA,13.9576744948914,63.9830838030432,-5.33831435952484e-15,951.8436125,951.8436125,6.66666666666667,997,96.5,234.5,62.5,4.115,14.26,67.14,12.0598039215637,0.86473649885544,205,1.81857637417577,90.4892235147786,11.8580142642635,230.712491631153,323.5,8.5,NA,75.2416291977279,4.06281095246968
"Z005E0040",41.6666666666667,126.333333333333,18.0415299227703,13.6666666666667,68.6666666666667,23.75,947.8172225,924.0672225,0.940776127337051,840,94.5,264,72.5,4.21078068550917,14.775078741422,64.3302523885481,NA,0.86473649885544,171.25,-0.181423625824229,98.3333333333333,10.8580142642635,242.712491631153,330,7.5,NA,65,4.06666666666667
"Z005E0041",42.5507069952455,118.136562961337,22.0415299227703,18.1576893423934,72.4732949707388,8.64691425737564,933.559931971491,924.73666716424,6.705678862366,786,89,170,60,4.21,11.605,68.59,NA,0.86473649885544,187.5,0.818576374175771,102.437275707228,12.8580142642635,142.712491631153,253.5,10,NA,67.5,3.57911891959665
