genotype,family,EarWeight_NY,GDDDaystoSilk_NY
Z008E0015,Z008,58.543621226218,962.074513028509
Z008E0016,Z008,51.3333333333333,935.406183028509
Z008E0017,Z008,61.543621226218,917.538335
Z008E0018,Z008,43.5,985.038335
Z008E0019,Z008,62.1666666666667,947.8172225
Z008E0020,Z008,69.5,962.074513028509
Z008E0021,Z008,74.0534100585223,956.9830575
Z008E0022,Z008,37.4830838030432,975.3172225
Z008E0023,Z008,68.793621226218,934.4830575
Z008E0024,Z008,36.6666666666667,962.074513028509
Z008E0025,Z008,42.0534100585223,940.4566675
Z008E0026,Z008,47.0534100585223,930.4566675
Z008E0027,Z008,119.043621226218,940.4566675
Z008E0028,Z008,51.0534100585223,940.4566675
Z008E0029,Z008,60.9830838030432,951.8436125
Z008E0030,Z008,25.0534100585223,985.038335
Z008E0031,Z008,68.043621226218,935.0672225
Z008E0032,Z008,61.3333333333334,1036.51673802851
Z008E0033,Z008,60.043621226218,935.406183028509
Z008E0034,Z008,62.126954561218,968.788335
Z008E0035,Z008,56.793621226218,934.4830575
Z008E0036,Z008,65.043621226218,942.4277775
Z008E0037,Z008,78.5534100585223,956.9830575
Z008E0038,Z008,38.8333333333333,985.038335
Z008E0039,Z008,42.6666666666667,992.353403028509
Z008E0040,Z008,58.9830838030432,985.038335
Z008E0041,Z008,99.5534100585223,893.4277775
Z008E0042,Z008,79.1666666666667,940.4566675
Z008E0043,Z008,91.5534100585223,920.5527775
Z008E0044,Z008,62.8333333333334,980.406183028509
Z008E0045,Z008,54.9830838030432,956.9830575
Z008E0046,Z008,41.1666666666667,1036.51673802851
Z008E0047,Z008,107.833333333333,946.636945
Z008E0048,Z008,78.8333333333333,947.8172225
Z008E0049,Z008,58.5,985.038335
Z008E0050,Z008,NA,985.038335
Z008E0051,Z008,63.5,951.8436125
Z008E0052,Z008,65.8333333333333,940.4566675
Z008E0053,Z008,67.6666666666667,930.4566675
Z008E0054,Z008,31.543621226218,975.3172225
Z008E0055,Z008,58.8333333333333,982.538335
Z008E0056,Z008,51,985.038335
Z008E0057,Z008,71,934.4830575
Z008E0058,Z008,86.3333333333333,935.0672225
Z008E0059,Z008,71.1666666666667,914.574513028509
Z008E0060,Z008,57,937.47111
Z008E0061,Z008,57.293621226218,956.9830575
Z008E0062,Z008,61.3333333333333,1017.07451302851
Z008E0063,Z008,72,917.538335
Z008E0064,Z008,82.8333333333333,956.9830575
Z008E0065,Z008,57.6666666666667,947.8172225
Z008E0066,Z008,NA,956.9830575
Z008E0067,Z008,NA,1017.07451302851
Z008E0068,Z008,62.1666666666667,980.406183028509
Z008E0069,Z008,82.293621226218,972.8172225
Z008E0070,Z008,45.7330838030432,946.636945
Z008E0071,Z008,38.9732949707388,962.074513028509
Z008E0072,Z008,70.293621226218,947.8172225
Z008E0073,Z008,73,962.9566675
Z008E0074,Z008,76.4830838030432,924.136945
Z008E0075,Z008,65.793621226218,956.9830575
Z008E0076,Z008,90.9830838030431,887.627293028509
Z008E0077,Z008,70.6666666666667,1025.40618302851
Z008E0078,Z008,62.1666666666667,975.3172225
Z008E0079,Z008,40.043621226218,934.4830575
Z008E0080,Z008,79.1666666666666,947.8172225
Z008E0081,Z008,74.3333333333333,934.4830575
Z008E0082,Z008,46.5,975.3172225
Z008E0083,Z008,91.6666666666667,930.4566675
Z008E0084,Z008,59.793621226218,940.4566675
Z008E0085,Z008,84.5,940.4566675
Z008E0086,Z008,55.5534100585223,930.4566675
Z008E0087,Z008,32.0534100585223,924.0672225
Z008E0088,Z008,71.0534100585223,947.8172225
Z008E0089,Z008,93.9732949707388,910.5936125
Z008E0090,Z008,43.3333333333334,947.8172225
Z008E0091,Z008,61.8333333333333,975.3172225
Z008E0092,Z008,49.8333333333333,951.8436125
Z008E0093,Z008,69.8333333333333,985.038335
Z008E0094,Z008,69.5338323939137,956.9830575
Z008E0095,Z008,45.5534100585223,962.074513028509
Z008E0096,Z008,92.293621226218,937.3725
Z008E0097,Z008,59.8333333333333,962.9566675
Z008E0098,Z008,59.5,985.038335
Z008E0099,Z008,57,934.4830575
Z008E0100,Z008,67.6666666666667,917.538335
Z008E0101,Z008,53.8333333333333,962.9566675
Z008E0102,Z008,69.293621226218,956.9830575
Z008E0103,Z008,94.3333333333333,940.4566675
