Taxon,Location,Year,EarWeight,DaysToSilk
Z003E0185,NY,2006,24,964.80278
Z003E0185,NY,2007,66,883.331665
Z003E0186,NY,2006,NA,964.80278
Z003E0186,NY,2007,NA,1005.27389
Z003E0187,NY,2006,90,964.80278
Z003E0187,NY,2007,89,916.110555
Z003E0188,NY,2006,NA,NA
Z003E0188,NY,2007,43,949.163335
Z003E0189,NY,2006,NA,NA
Z003E0189,NY,2007,NA,788.331665
Z003E0190,NY,2006,31,924.110555
Z003E0190,NY,2007,85,883.331665
Z003E0191,NY,2006,NA,964.80278
Z003E0191,NY,2007,NA,961.110555
Z003E0192,NY,2006,NA,964.80278
Z003E0192,NY,2007,NA,1005.27389
Z003E0193,NY,2006,NA,NA
Z003E0193,NY,2007,NA,896.110555
Z003E0194,NY,2006,NA,964.80278
Z003E0194,NY,2007,NA,856.384445
Z003E0195,NY,2006,34,NA
Z003E0195,NY,2007,NA,938.884445
Z003E0196,NY,2006,66,964.80278
Z003E0196,NY,2007,103,883.331665
Z003E0197,NY,2006,30,964.80278
Z003E0197,NY,2007,NA,870.27389
Z003E0198,NY,2006,94,944.110555
Z003E0198,NY,2007,NA,828.610555
Z003E0199,NY,2006,83,964.80278
Z003E0199,NY,2007,77,870.27389
Z003E0200,NY,2006,NA,964.80278
Z003E0200,NY,2007,NA,961.110555
Z003E0201,NY,2006,71.81818182,917.7864445
Z003E0201,NY,2007,110.8571429,822.9494444
Z003E0202,NY,2006,NA,964.80278
Z003E0202,NY,2007,NA,1005.27389
Z003E0212,NY,2006,NA,NA
Z003E0212,NY,2007,NA,NA
Z003E0220,NY,2006,NA,NA
Z003E0220,NY,2007,NA,NA
Z003E0266,NY,2006,NA,NA
Z003E0266,NY,2007,NA,NA
Z005E0001,NY,2006,115,870.55278
Z005E0001,NY,2007,118,818.610555
Z005E0002,NY,2006,124,936.94222
Z005E0002,NY,2007,NA,828.610555
Z005E0003,NY,2006,NA,NA
Z005E0003,NY,2007,28,961.110555
Z005E0004,NY,2006,90,964.80278
Z005E0004,NY,2007,68,916.110555
Z005E0005,NY,2006,49,964.80278
Z005E0005,NY,2007,NA,938.884445
Z005E0006,NY,2006,NA,NA
Z005E0006,NY,2007,NA,1005.27389
Z005E0007,NY,2006,95,904.77389
Z005E0007,NY,2007,75,828.610555
Z005E0008,NY,2006,65,964.80278
Z005E0008,NY,2007,60,938.884445
Z005E0009,NY,2006,73,964.80278
Z005E0009,NY,2007,NA,883.331665
Z005E0010,NY,2006,NA,NA
Z005E0010,NY,2007,NA,NA
Z005E0011,NY,2006,NA,NA
Z005E0011,NY,2007,NA,788.331665
Z005E0012,NY,2006,NA,964.80278
Z005E0012,NY,2007,66,883.331665
Z005E0013,NY,2006,147,936.94222
Z005E0013,NY,2007,85,870.27389
Z005E0014,NY,2006,103,954.02389
Z005E0014,NY,2007,NA,938.884445
Z005E0015,NY,2006,NA,NA
Z005E0015,NY,2007,NA,NA
Z005E0016,NY,2006,66,936.94222
Z005E0016,NY,2007,NA,870.27389
Z005E0017,NY,2006,NA,NA
Z005E0017,NY,2007,63,994.163335
Z005E0018,NY,2006,NA,NA
Z005E0018,NY,2007,NA,938.884445
Z005E0019,NY,2006,NA,NA
Z005E0019,NY,2007,NA,828.610555
Z005E0020,NY,2006,115,964.80278
Z005E0020,NY,2007,105,930.831665
Z005E0021,NY,2006,64,924.110555
Z005E0021,NY,2007,63,841.663335
Z005E0022,NY,2006,64,964.80278
Z005E0022,NY,2007,74,904.163335
Z005E0023,NY,2006,67,964.80278
Z005E0023,NY,2007,NA,930.831665
Z005E0024,NY,2006,124,936.94222
Z005E0024,NY,2007,NA,870.27389
Z005E0025,NY,2006,91,964.80278
Z005E0025,NY,2007,NA,NA
Z005E0026,NY,2006,131,954.02389
Z005E0026,NY,2007,NA,930.831665
Z005E0027,NY,2006,NA,964.80278
Z005E0027,NY,2007,75.5,841.663335
Z005E0028,NY,2006,50,NA
Z005E0028,NY,2007,NA,980.831665
Z005E0029,NY,2006,84,944.110555
Z005E0029,NY,2007,70,930.831665
Z005E0030,NY,2006,86,964.80278
Z005E0030,NY,2007,155,818.610555
Z005E0031,NY,2006,17,964.80278
Z005E0031,NY,2007,NA,818.610555
Z005E0032,NY,2006,75,NA
Z005E0032,NY,2007,55,NA
Z005E0033,NY,2006,78,964.80278
Z005E0033,NY,2007,NA,916.110555
Z005E0034,NY,2006,NA,NA
Z005E0034,NY,2007,28,1005.27389
Z005E0035,NY,2006,70,964.80278
Z005E0035,NY,2007,NA,896.110555
Z005E0036,NY,2006,NA,NA
Z005E0036,NY,2007,NA,1005.27389
Z005E0037,NY,2006,NA,964.80278
Z005E0037,NY,2007,NA,980.831665
Z005E0038,NY,2006,66,964.80278
Z005E0038,NY,2007,61,1000.27389
Z005E0039,NY,2006,NA,964.80278
Z005E0039,NY,2007,46,938.884445
Z005E0040,NY,2006,55,964.80278
Z005E0040,NY,2007,61,930.831665
Z005E0041,NY,2006,103,964.80278
Z005E0041,NY,2007,29,NA
Z005E0042,NY,2006,NA,NA
Z005E0042,NY,2007,115,856.384445
Z005E0043,NY,2006,NA,964.80278
Z005E0043,NY,2007,111,883.331665
Z005E0044,NY,2006,NA,NA
Z005E0044,NY,2007,NA,788.331665
Z005E0045,NY,2006,52,964.80278
Z005E0045,NY,2007,38.5,961.110555
Z005E0046,NY,2006,118,964.80278
Z005E0046,NY,2007,NA,896.110555
Z005E0047,NY,2006,43.5,NA
Z005E0047,NY,2007,118,828.610555
Z005E0048,NY,2006,NA,NA
Z005E0048,NY,2007,NA,NA
Z005E0049,NY,2006,NA,NA
Z005E0049,NY,2007,41,1005.27389
Z005E0050,NY,2006,NA,964.80278
Z005E0050,NY,2007,NA,938.884445
Z005E0051,NY,2006,41,NA
Z005E0051,NY,2007,NA,1005.27389
Z005E0052,NY,2006,60,964.80278
Z005E0052,NY,2007,66,870.27389
Z005E0053,NY,2006,27,NA
Z005E0053,NY,2007,75,NA
Z005E0054,NY,2006,49,964.80278
Z005E0054,NY,2007,93,930.831665
Z005E0055,NY,2006,97,964.80278
Z005E0055,NY,2007,NA,841.663335
Z005E0056,NY,2006,63,936.94222
Z005E0056,NY,2007,NA,904.163335
Z005E0057,NY,2006,76,964.80278
Z005E0057,NY,2007,101.5,896.110555
Z005E0058,NY,2006,NA,NA
Z005E0058,NY,2007,NA,1005.27389
Z005E0059,NY,2006,24,NA
Z005E0059,NY,2007,25,1005.27389
Z005E0060,NY,2006,87,964.80278
Z005E0060,NY,2007,NA,930.831665
Z005E0061,NY,2006,NA,964.80278
Z005E0061,NY,2007,73,938.884445
Z005E0062,NY,2006,45,964.80278
Z005E0062,NY,2007,31,870.27389
Z005E0063,NY,2006,93,NA
Z005E0063,NY,2007,90,916.110555
Z005E0064,NY,2006,NA,NA
Z005E0064,NY,2007,NA,1005.27389
Z005E0065,NY,2006,109,936.94222
Z005E0065,NY,2007,NA,870.27389
Z005E0066,NY,2006,34,964.80278
Z005E0066,NY,2007,NA,930.831665
Z005E0067,NY,2006,NA,964.80278
Z005E0067,NY,2007,NA,896.110555
Z005E0068,NY,2006,88,924.110555
Z005E0068,NY,2007,NA,883.331665
